Score
14
11
11
11
14
14
11
11
11
13
13
11
11
14
13
14
13
11
14
13
11
14
11
13
13
13
11
11
14
11
11
11
14
11
11
14
13
14
11
13
13
11
14
11
14
11
11
13
11
13
11
14
11
13
13
13
11
11
11
11
11
11
14
13
11
14
14
14
11
11
13
14
11
11
14
13
13
11
14
13
114
11
13
11
11
14
11
11
11
13
14
11
14
13
11
11
14
14
11
11
13
13
13
13
13
14
14
14
11
14
14
14
14
14
14
14
14
11
14
14
14
14
13
14
14
11
13
13
14
11
13
14
13
14
11
11
13
13
13
11
11
11
11
11
14
13
11
11
11
11
13
11
13
113
14
11
11
13
11
13
13
11
11
13
14
11
13
11
11
11
11
11
11
14
13
13
11
11
13
14
11
14
13
11
11
11
11
14
13
14
11
11
13
11
13
11
11
14
11
13
11
11
11
11
11
14
14
11
14
14
14
14
14
14
14
14
14
14
11
11
14
14
13
11
11
13
11
11
13
11
14
11
13
11
14
11
14
11
11
13
11
13
13
11
14
11
11
11
11
11
11
11
11
11
11
11
11
13
14
11
11
11
11
14
14
14
11
11
11
13
14
14
14
11
-100
11
14
11
11
11
113
14
13
11
14
11
14
11
14
11
11
14
13
13
14
11
13
14
11
11
